Intervalle : [0//1 , 3//1186]
Intervalle : [9//23 , 38//97]

Intervalle : [38//97 , 20//51]

Intervalle : [20//51 , 24//61]

Intervalle : [24//61 , 13//33]

Intervalle : [13//33 , 15//38]

Intervalle : [15//38 , 17//43]

Intervalle : [17//43 , 19//48]

Intervalle : [19//48 , 27//68]

Intervalle : [27//68 , 35//88]

Intervalle : [35//88 , 43//108]

Intervalle : [43//108 , 2//5]

Intervalle : [2//5 , 37//92]

Intervalle : [37//92 , 35//87]

Intervalle : [35//87 , 33//82]

Intervalle : [33//82 , 29//72]

Intervalle : [29//72 , 27//67]

Intervalle : [27//67 , 23//57]

Intervalle : [23//57 , 21//52]

Intervalle : [21//52 , 17//42]

Intervalle : [17//42 , 15//37]

Intervalle : [15//37 , 28//69]

Intervalle : [28//69 , 13//32]

Intervalle : [13//32 , 24//59]

Intervalle : [24//59 , 11//27]

Intervalle : [11//27 , 38//93]

Intervalle : [38//93 , 9//22]

Intervalle : [9//22 , 52//127]

Intervalle : [52//127 , 25//61]

Intervalle : [25//61 , 16//39]

Intervalle : [16//39 , 37//90]

Intervalle : [37//90 , 7//17]

Intervalle : [7//17 , 47//114]

Intervalle : [47//114 , 59//143]

Intervalle : [59//143 , 26//63]

Intervalle : [26//63 , 19//46]

Intervalle : [19//46 , 12//29]

Intervalle : [12//29 , 17//41]

Intervalle : [17//41 , 56//135]

Intervalle : [56//135 , 22//53]

Intervalle : [22//53 , 5//12]

Intervalle : [5//12 , 28//67]

Intervalle : [28//67 , 31//74]

Intervalle : [31//74 , 13//31]

Intervalle : [13//31 , 45//107]

Intervalle : [45//107 , 53//126]

Intervalle : [53//126 , 8//19]

Intervalle : [8//19 , 43//102]

Intervalle : [43//102 , 35//83]

Intervalle : [35//83 , 27//64]

Intervalle : [27//64 , 19//45]

Intervalle : [19//45 , 30//71]

Intervalle : [30//71 , 11//26]

Intervalle : [11//26 , 36//85]

Intervalle : [36//85 , 25//59]

Intervalle : [25//59 , 53//125]

Intervalle : [53//125 , 14//33]

Intervalle : [14//33 , 17//40]

Intervalle : [17//40 , 20//47]

Intervalle : [20//47 , 26//61]

Intervalle : [26//61 , 62//145]

Intervalle : [62//145 , 3//7]

Intervalle : [3//7 , 37//86]

Intervalle : [37//86 , 34//79]

Intervalle : [34//79 , 25//58]

Intervalle : [25//58 , 22//51]

Intervalle : [22//51 , 19//44]

Intervalle : [19//44 , 67//155]

Intervalle : [67//155 , 16//37]

Intervalle : [16//37 , 29//67]

Intervalle : [29//67 , 13//30]

Intervalle : [13//30 , 33//76]

Intervalle : [33//76 , 10//23]

Intervalle : [10//23 , 57//131]

Intervalle : [57//131 , 38//87]

Intervalle : [38//87 , 45//103]

Intervalle : [45//103 , 46//105]

Intervalle : [46//105 , 61//139]

Intervalle : [61//139 , 18//41]

Intervalle : [18//41 , 29//66]

Intervalle : [29//66 , 51//116]

Intervalle : [51//116 , 11//25]

Intervalle : [11//25 , 59//134]

Intervalle : [59//134 , 37//84]

Intervalle : [37//84 , 15//34]

Intervalle : [15//34 , 53//120]

Intervalle : [53//120 , 19//43]

Intervalle : [19//43 , 50//113]

Intervalle : [50//113 , 27//61]

Intervalle : [27//61 , 31//70]

Intervalle : [31//70 , 43//97]

Intervalle : [43//97 , 59//133]

Intervalle : [59//133 , 4//9]

Intervalle : [4//9 , 37//83]

Intervalle : [37//83 , 29//65]

Intervalle : [29//65 , 54//121]

Intervalle : [54//121 , 25//56]

Intervalle : [25//56 , 38//85]

Intervalle : [38//85 , 17//38]

Intervalle : [17//38 , 13//29]

Intervalle : [13//29 , 48//107]

Intervalle : [48//107 , 9//20]

Intervalle : [9//20 , 23//51]

Intervalle : [23//51 , 14//31]

Intervalle : [14//31 , 43//95]

Intervalle : [43//95 , 34//75]

Intervalle : [34//75 , 49//108]

Intervalle : [49//108 , 5//11]

Intervalle : [5//11 , 36//79]

Intervalle : [36//79 , 26//57]

Intervalle : [26//57 , 16//35]

Intervalle : [16//35 , 43//94]

Intervalle : [43//94 , 11//24]

Intervalle : [11//24 , 40//87]

Intervalle : [40//87 , 23//50]

Intervalle : [23//50 , 35//76]

Intervalle : [35//76 , 6//13]

Intervalle : [6//13 , 25//54]

Intervalle : [25//54 , 69//149]

Intervalle : [69//149 , 19//41]

Intervalle : [19//41 , 20//43]

Intervalle : [20//43 , 34//73]

Intervalle : [34//73 , 41//88]

Intervalle : [41//88 , 7//15]

Intervalle : [7//15 , 50//107]

Intervalle : [50//107 , 22//47]

Intervalle : [22//47 , 37//79]

Intervalle : [37//79 , 15//32]

Intervalle : [15//32 , 23//49]

Intervalle : [23//49 , 47//100]

Intervalle : [47//100 , 8//17]

Intervalle : [8//17 , 49//104]

Intervalle : [49//104 , 17//36]

Intervalle : [17//36 , 26//55]

Intervalle : [26//55 , 35//74]

Intervalle : [35//74 , 44//93]

Intervalle : [44//93 , 9//19]

Intervalle : [9//19 , 28//59]

Intervalle : [28//59 , 19//40]

Intervalle : [19//40 , 39//82]

Intervalle : [39//82 , 10//21]

Intervalle : [10//21 , 31//65]

Intervalle : [31//65 , 52//109]

Intervalle : [52//109 , 21//44]

Intervalle : [21//44 , 43//90]

Intervalle : [43//90 , 54//113]

Intervalle : [54//113 , 11//23]

Intervalle : [11//23 , 45//94]

Intervalle : [45//94 , 34//71]

Intervalle : [34//71 , 12//25]

Intervalle : [12//25 , 25//52]

Intervalle : [25//52 , 41//85]

Intervalle : [41//85 , 14//29]

Intervalle : [14//29 , 44//91]

Intervalle : [44//91 , 15//31]

Intervalle : [15//31 , 33//68]

Intervalle : [33//68 , 35//72]

Intervalle : [35//72 , 18//37]

Intervalle : [18//37 , 55//113]

Intervalle : [55//113 , 19//39]

Intervalle : [19//39 , 20//41]

Intervalle : [20//41 , 43//88]

Intervalle : [43//88 , 22//45]

Intervalle : [22//45 , 25//51]

Intervalle : [25//51 , 26//53]

Intervalle : [26//53 , 28//57]

Intervalle : [28//57 , 30//61]

Intervalle : [30//61 , 31//63]

Intervalle : [31//63 , 34//69]

Intervalle : [34//69 , 36//73]

Intervalle : [36//73 , 37//75]

Intervalle : [37//75 , 61//123]

Intervalle : [61//123 , 1//2]

Intervalle : [1//2 , 51//101]

Intervalle : [51//101 , 43//85]

Intervalle : [43//85 , 34//67]

Intervalle : [34//67 , 32//63]

Intervalle : [32//63 , 28//55]

Intervalle : [28//55 , 27//53]

Intervalle : [27//53 , 25//49]

Intervalle : [25//49 , 24//47]

Intervalle : [24//47 , 23//45]

Intervalle : [23//45 , 21//41]

Intervalle : [21//41 , 20//39]

Intervalle : [20//39 , 19//37]

Intervalle : [19//37 , 37//72]

Intervalle : [37//72 , 18//35]

Intervalle : [18//35 , 35//68]

Intervalle : [35//68 , 33//64]

Intervalle : [33//64 , 16//31]

Intervalle : [16//31 , 15//29]

Intervalle : [15//29 , 59//114]

Intervalle : [59//114 , 73//141]

Intervalle : [73//141 , 29//56]

Intervalle : [29//56 , 43//83]

Intervalle : [43//83 , 14//27]

Intervalle : [14//27 , 55//106]

Intervalle : [55//106 , 27//52]

Intervalle : [27//52 , 67//129]

Intervalle : [67//129 , 13//25]

Intervalle : [13//25 , 38//73]

Intervalle : [38//73 , 25//48]

Intervalle : [25//48 , 37//71]

Intervalle : [37//71 , 12//23]

Intervalle : [12//23 , 59//113]

Intervalle : [59//113 , 11//21]

Intervalle : [11//21 , 43//82]

Intervalle : [43//82 , 32//61]

Intervalle : [32//61 , 21//40]

Intervalle : [21//40 , 10//19]

Intervalle : [10//19 , 49//93]

Intervalle : [49//93 , 29//55]

Intervalle : [29//55 , 19//36]

Intervalle : [19//36 , 9//17]

Intervalle : [9//17 , 26//49]

Intervalle : [26//49 , 33//62]

Intervalle : [33//62 , 63//118]

Intervalle : [63//118 , 39//73]

Intervalle : [39//73 , 31//58]

Intervalle : [31//58 , 38//71]

Intervalle : [38//71 , 15//28]

Intervalle : [15//28 , 37//69]

Intervalle : [37//69 , 22//41]

Intervalle : [22//41 , 7//13]

Intervalle : [7//13 , 27//50]

Intervalle : [27//50 , 46//85]

Intervalle : [46//85 , 13//24]

Intervalle : [13//24 , 32//59]

Intervalle : [32//59 , 51//94]

Intervalle : [51//94 , 44//81]

Intervalle : [44//81 , 6//11]

Intervalle : [6//11 , 23//42]

Intervalle : [23//42 , 45//82]

Intervalle : [45//82 , 67//122]

Intervalle : [67//122 , 11//20]

Intervalle : [11//20 , 43//78]

Intervalle : [43//78 , 16//29]

Intervalle : [16//29 , 31//56]

Intervalle : [31//56 , 5//9]

Intervalle : [5//9 , 74//133]

Intervalle : [74//133 , 54//97]

Intervalle : [54//97 , 29//52]

Intervalle : [29//52 , 24//43]

Intervalle : [24//43 , 43//77]

Intervalle : [43//77 , 62//111]

Intervalle : [62//111 , 33//59]

Intervalle : [33//59 , 47//84]

Intervalle : [47//84 , 14//25]

Intervalle : [14//25 , 9//16]

Intervalle : [9//16 , 58//103]

Intervalle : [58//103 , 49//87]

Intervalle : [49//87 , 31//55]

Intervalle : [31//55 , 22//39]

Intervalle : [22//39 , 83//147]

Intervalle : [83//147 , 30//53]

Intervalle : [30//53 , 47//83]

Intervalle : [47//83 , 64//113]

Intervalle : [64//113 , 17//30]

Intervalle : [17//30 , 55//97]

Intervalle : [55//97 , 21//37]

Intervalle : [21//37 , 88//155]

Intervalle : [88//155 , 67//118]

Intervalle : [67//118 , 29//51]

Intervalle : [29//51 , 33//58]

Intervalle : [33//58 , 65//114]

Intervalle : [65//114 , 4//7]

Intervalle : [4//7 , 63//110]

Intervalle : [63//110 , 31//54]

Intervalle : [31//54 , 27//47]

Intervalle : [27//47 , 23//40]

Intervalle : [23//40 , 19//33]

Intervalle : [19//33 , 72//125]

Intervalle : [72//125 , 15//26]

Intervalle : [15//26 , 41//71]

Intervalle : [41//71 , 37//64]

Intervalle : [37//64 , 11//19]

Intervalle : [11//19 , 51//88]

Intervalle : [51//88 , 40//69]

Intervalle : [40//69 , 29//50]

Intervalle : [29//50 , 18//31]

Intervalle : [18//31 , 57//98]

Intervalle : [57//98 , 32//55]

Intervalle : [32//55 , 60//103]

Intervalle : [60//103 , 7//12]

Intervalle : [7//12 , 31//53]

Intervalle : [31//53 , 24//41]

Intervalle : [24//41 , 17//29]

Intervalle : [17//29 , 37//63]

Intervalle : [37//63 , 10//17]

Intervalle : [10//17 , 59//100]

Intervalle : [59//100 , 36//61]

Intervalle : [36//61 , 13//22]

Intervalle : [13//22 , 55//93]

Intervalle : [55//93 , 42//71]

Intervalle : [42//71 , 29//49]

Intervalle : [29//49 , 45//76]

Intervalle : [45//76 , 61//103]

Intervalle : [61//103 , 16//27]

Intervalle : [16//27 , 19//32]

Intervalle : [19//32 , 25//42]

Intervalle : [25//42 , 28//47]

Intervalle : [28//47 , 37//62]

Intervalle : [37//62 , 46//77]

Intervalle : [46//77 , 61//102]

Intervalle : [61//102 , 3//5]

Intervalle : [3//5 , 53//88]

Intervalle : [53//88 , 41//68]

Intervalle : [41//68 , 35//58]

Intervalle : [35//58 , 29//48]

Intervalle : [29//48 , 55//91]

Intervalle : [55//91 , 49//81]

Intervalle : [49//81 , 23//38]

Intervalle : [23//38 , 83//137]

Intervalle : [83//137 , 17//28]

Intervalle : [17//28 , 65//107]

Intervalle : [65//107 , 31//51]

Intervalle : [31//51 , 45//74]

Intervalle : [45//74 , 14//23]

Intervalle : [14//23 , 64//105]

Intervalle : [64//105 , 61//100]

Intervalle : [61//100 , 47//77]

Intervalle : [47//77 , 30//49]

Intervalle : [30//49 , 19//31]

Intervalle : [19//31 , 27//44]

Intervalle : [27//44 , 8//13]

Intervalle : [8//13 , 29//47]

Intervalle : [29//47 , 21//34]

Intervalle : [21//34 , 13//21]

Intervalle : [13//21 , 70//113]

Intervalle : [70//113 , 31//50]

Intervalle : [31//50 , 18//29]

Intervalle : [18//29 , 23//37]

Intervalle : [23//37 , 28//45]

Intervalle : [28//45 , 33//53]

Intervalle : [33//53 , 53//85]

Intervalle : [53//85 , 78//125]

Intervalle : [78//125 , 5//8]

Intervalle : [5//8 , 37//59]

Intervalle : [37//59 , 71//113]

Intervalle : [71//113 , 17//27]

Intervalle : [17//27 , 41//65]

Intervalle : [41//65 , 12//19]

Intervalle : [12//19 , 43//68]

Intervalle : [43//68 , 19//30]

Intervalle : [19//30 , 33//52]

Intervalle : [33//52 , 73//115]

Intervalle : [73//115 , 7//11]

Intervalle : [7//11 , 81//127]

Intervalle : [81//127 , 62//97]

Intervalle : [62//97 , 39//61]

Intervalle : [39//61 , 41//64]

Intervalle : [41//64 , 25//39]

Intervalle : [25//39 , 34//53]

Intervalle : [34//53 , 70//109]

Intervalle : [70//109 , 9//14]

Intervalle : [9//14 , 20//31]

Intervalle : [20//31 , 31//48]

Intervalle : [31//48 , 11//17]

Intervalle : [11//17 , 68//105]

Intervalle : [68//105 , 24//37]

Intervalle : [24//37 , 13//20]

Intervalle : [13//20 , 28//43]

Intervalle : [28//43 , 71//109]

Intervalle : [71//109 , 15//23]

Intervalle : [15//23 , 32//49]

Intervalle : [32//49 , 17//26]

Intervalle : [17//26 , 36//55]

Intervalle : [36//55 , 19//29]

Intervalle : [19//29 , 40//61]

Intervalle : [40//61 , 23//35]

Intervalle : [23//35 , 73//111]

Intervalle : [73//111 , 27//41]

Intervalle : [27//41 , 29//44]

Intervalle : [29//44 , 31//47]

Intervalle : [31//47 , 39//59]

Intervalle : [39//59 , 41//62]

Intervalle : [41//62 , 92//139]

Intervalle : [92//139 , 2//3]

Intervalle : [2//3 , 85//127]

Intervalle : [85//127 , 77//115]

Intervalle : [77//115 , 53//79]

Intervalle : [53//79 , 45//67]

Intervalle : [45//67 , 35//52]

Intervalle : [35//52 , 31//46]

Intervalle : [31//46 , 60//89]

Intervalle : [60//89 , 29//43]

Intervalle : [29//43 , 27//40]

Intervalle : [27//40 , 23//34]

Intervalle : [23//34 , 86//127]

Intervalle : [86//127 , 21//31]

Intervalle : [21//31 , 59//87]

Intervalle : [59//87 , 19//28]

Intervalle : [19//28 , 55//81]

Intervalle : [55//81 , 36//53]

Intervalle : [36//53 , 83//122]

Intervalle : [83//122 , 92//135]

Intervalle : [92//135 , 15//22]

Intervalle : [15//22 , 58//85]

Intervalle : [58//85 , 28//41]

Intervalle : [28//41 , 41//60]

Intervalle : [41//60 , 13//19]

Intervalle : [13//19 , 89//130]

Intervalle : [89//130 , 87//127]

Intervalle : [87//127 , 37//54]

Intervalle : [37//54 , 57//83]

Intervalle : [57//83 , 11//16]

Intervalle : [11//16 , 31//45]

Intervalle : [31//45 , 20//29]

Intervalle : [20//29 , 38//55]

Intervalle : [38//55 , 56//81]

Intervalle : [56//81 , 9//13]

Intervalle : [9//13 , 43//62]

Intervalle : [43//62 , 25//36]

Intervalle : [25//36 , 41//59]

Intervalle : [41//59 , 57//82]

Intervalle : [57//82 , 16//23]

Intervalle : [16//23 , 55//79]

Intervalle : [55//79 , 23//33]

Intervalle : [23//33 , 76//109]

Intervalle : [76//109 , 58//83]

Intervalle : [58//83 , 7//10]

Intervalle : [7//10 , 68//97]

Intervalle : [68//97 , 33//47]

Intervalle : [33//47 , 26//37]

Intervalle : [26//37 , 64//91]

Intervalle : [64//91 , 31//44]

Intervalle : [31//44 , 55//78]

Intervalle : [55//78 , 12//17]

Intervalle : [12//17 , 29//41]

Intervalle : [29//41 , 17//24]

Intervalle : [17//24 , 73//103]

Intervalle : [73//103 , 39//55]

Intervalle : [39//55 , 22//31]

Intervalle : [22//31 , 49//69]

Intervalle : [49//69 , 27//38]

Intervalle : [27//38 , 32//45]

Intervalle : [32//45 , 37//52]

Intervalle : [37//52 , 5//7]

Intervalle : [5//7 , 73//102]

Intervalle : [73//102 , 53//74]

Intervalle : [53//74 , 38//53]

Intervalle : [38//53 , 28//39]

Intervalle : [28//39 , 23//32]

Intervalle : [23//32 , 18//25]

Intervalle : [18//25 , 49//68]

Intervalle : [49//68 , 31//43]

Intervalle : [31//43 , 44//61]

Intervalle : [44//61 , 13//18]

Intervalle : [13//18 , 47//65]

Intervalle : [47//65 , 55//76]

Intervalle : [55//76 , 79//109]

Intervalle : [79//109 , 37//51]

Intervalle : [37//51 , 8//11]

Intervalle : [8//11 , 83//114]

Intervalle : [83//114 , 75//103]

Intervalle : [75//103 , 35//48]

Intervalle : [35//48 , 62//85]

Intervalle : [62//85 , 19//26]

Intervalle : [19//26 , 68//93]

Intervalle : [68//93 , 30//41]

Intervalle : [30//41 , 41//56]

Intervalle : [41//56 , 63//86]

Intervalle : [63//86 , 74//101]

Intervalle : [74//101 , 11//15]

Intervalle : [11//15 , 36//49]

Intervalle : [36//49 , 67//91]

Intervalle : [67//91 , 14//19]

Intervalle : [14//19 , 87//118]

Intervalle : [87//118 , 59//80]

Intervalle : [59//80 , 45//61]

Intervalle : [45//61 , 31//42]

Intervalle : [31//42 , 17//23]

Intervalle : [17//23 , 37//50]

Intervalle : [37//50 , 20//27]

Intervalle : [20//27 , 43//58]

Intervalle : [43//58 , 23//31]

Intervalle : [23//31 , 49//66]

Intervalle : [49//66 , 26//35]

Intervalle : [26//35 , 29//39]

Intervalle : [29//39 , 90//121]

Intervalle : [90//121 , 61//82]

Intervalle : [61//82 , 32//43]

Intervalle : [32//43 , 91//122]

Intervalle : [91//122 , 50//67]

Intervalle : [50//67 , 56//75]

Intervalle : [56//75 , 59//79]

Intervalle : [59//79 , 68//91]

Intervalle : [68//91 , 3//4]

Intervalle : [3//4 , 64//85]

Intervalle : [64//85 , 89//118]

Intervalle : [89//118 , 40//53]

Intervalle : [40//53 , 37//49]

Intervalle : [37//49 , 28//37]

Intervalle : [28//37 , 63//83]

Intervalle : [63//83 , 19//25]

Intervalle : [19//25 , 35//46]

Intervalle : [35//46 , 16//21]

Intervalle : [16//21 , 29//38]

Intervalle : [29//38 , 13//17]

Intervalle : [13//17 , 75//98]

Intervalle : [75//98 , 49//64]

Intervalle : [49//64 , 36//47]

Intervalle : [36//47 , 23//30]

Intervalle : [23//30 , 79//103]

Intervalle : [79//103 , 56//73]

Intervalle : [56//73 , 33//43]

Intervalle : [33//43 , 10//13]

Intervalle : [10//13 , 47//61]

Intervalle : [47//61 , 37//48]

Intervalle : [37//48 , 91//118]

Intervalle : [91//118 , 27//35]

Intervalle : [27//35 , 71//92]

Intervalle : [71//92 , 44//57]

Intervalle : [44//57 , 17//22]

Intervalle : [17//22 , 24//31]

Intervalle : [24//31 , 38//49]

Intervalle : [38//49 , 66//85]

Intervalle : [66//85 , 87//112]

Intervalle : [87//112 , 7//9]

Intervalle : [7//9 , 67//86]

Intervalle : [67//86 , 39//50]

Intervalle : [39//50 , 71//91]

Intervalle : [71//91 , 89//114]

Intervalle : [89//114 , 25//32]

Intervalle : [25//32 , 68//87]

Intervalle : [68//87 , 43//55]

Intervalle : [43//55 , 18//23]

Intervalle : [18//23 , 40//51]

Intervalle : [40//51 , 51//65]

Intervalle : [51//65 , 11//14]

Intervalle : [11//14 , 26//33]

Intervalle : [26//33 , 67//85]

Intervalle : [67//85 , 15//19]

Intervalle : [15//19 , 34//43]

Intervalle : [34//43 , 91//115]

Intervalle : [91//115 , 19//24]

Intervalle : [19//24 , 23//29]

Intervalle : [23//29 , 58//73]

Intervalle : [58//73 , 35//44]

Intervalle : [35//44 , 74//93]

Intervalle : [74//93 , 39//49]

Intervalle : [39//49 , 43//54]

Intervalle : [43//54 , 90//113]

Intervalle : [90//113 , 4//5]

Intervalle : [4//5 , 53//66]

Intervalle : [53//66 , 49//61]

Intervalle : [49//61 , 41//51]

Intervalle : [41//51 , 37//46]

Intervalle : [37//46 , 70//87]

Intervalle : [70//87 , 29//36]

Intervalle : [29//36 , 54//67]

Intervalle : [54//67 , 25//31]

Intervalle : [25//31 , 46//57]

Intervalle : [46//57 , 21//26]

Intervalle : [21//26 , 80//99]

Intervalle : [80//99 , 59//73]

Intervalle : [59//73 , 38//47]

Intervalle : [38//47 , 55//68]

Intervalle : [55//68 , 17//21]

Intervalle : [17//21 , 47//58]

Intervalle : [47//58 , 30//37]

Intervalle : [30//37 , 43//53]

Intervalle : [43//53 , 13//16]

Intervalle : [13//16 , 83//102]

Intervalle : [83//102 , 35//43]

Intervalle : [35//43 , 31//38]

Intervalle : [31//38 , 40//49]

Intervalle : [40//49 , 49//60]

Intervalle : [49//60 , 76//93]

Intervalle : [76//93 , 9//11]

Intervalle : [9//11 , 86//105]

Intervalle : [86//105 , 68//83]

Intervalle : [68//83 , 41//50]

Intervalle : [41//50 , 32//39]

Intervalle : [32//39 , 55//67]

Intervalle : [55//67 , 23//28]

Intervalle : [23//28 , 37//45]

Intervalle : [37//45 , 14//17]

Intervalle : [14//17 , 33//40]

Intervalle : [33//40 , 52//63]

Intervalle : [52//63 , 77//93]

Intervalle : [77//93 , 29//35]

Intervalle : [29//35 , 34//41]

Intervalle : [34//41 , 44//53]

Intervalle : [44//53 , 59//71]

Intervalle : [59//71 , 69//83]

Intervalle : [69//83 , 89//107]

Intervalle : [89//107 , 5//6]

Intervalle : [5//6 , 76//91]

Intervalle : [76//91 , 51//61]

Intervalle : [51//61 , 41//49]

Intervalle : [41//49 , 31//37]

Intervalle : [31//37 , 57//68]

Intervalle : [57//68 , 21//25]

Intervalle : [21//25 , 58//69]

Intervalle : [58//69 , 37//44]

Intervalle : [37//44 , 16//19]

Intervalle : [16//19 , 70//83]

Intervalle : [70//83 , 27//32]

Intervalle : [27//32 , 65//77]

Intervalle : [65//77 , 38//45]

Intervalle : [38//45 , 11//13]

Intervalle : [11//13 , 28//33]

Intervalle : [28//33 , 45//53]

Intervalle : [45//53 , 40//47]

Intervalle : [40//47 , 23//27]

Intervalle : [23//27 , 29//34]

Intervalle : [29//34 , 41//48]

Intervalle : [41//48 , 53//62]

Intervalle : [53//62 , 65//76]

Intervalle : [65//76 , 71//83]

Intervalle : [71//83 , 83//97]

Intervalle : [83//97 , 6//7]

Intervalle : [6//7 , 91//106]

Intervalle : [91//106 , 85//99]

Intervalle : [85//99 , 49//57]

Intervalle : [49//57 , 43//50]

Intervalle : [43//50 , 37//43]

Intervalle : [37//43 , 31//36]

Intervalle : [31//36 , 56//65]

Intervalle : [56//65 , 25//29]

Intervalle : [25//29 , 44//51]

Intervalle : [44//51 , 19//22]

Intervalle : [19//22 , 70//81]

Intervalle : [70//81 , 32//37]

Intervalle : [32//37 , 45//52]

Intervalle : [45//52 , 13//15]

Intervalle : [13//15 , 85//98]

Intervalle : [85//98 , 59//68]

Intervalle : [59//68 , 46//53]

Intervalle : [46//53 , 79//91]

Intervalle : [79//91 , 33//38]

Intervalle : [33//38 , 73//84]

Intervalle : [73//84 , 20//23]

Intervalle : [20//23 , 87//100]

Intervalle : [87//100 , 27//31]

Intervalle : [27//31 , 75//86]

Intervalle : [75//86 , 62//71]

Intervalle : [62//71 , 69//79]

Intervalle : [69//79 , 90//103]

Intervalle : [90//103 , 7//8]

Intervalle : [7//8 , 71//81]

Intervalle : [71//81 , 36//41]

Intervalle : [36//41 , 29//33]

Intervalle : [29//33 , 22//25]

Intervalle : [22//25 , 59//67]

Intervalle : [59//67 , 15//17]

Intervalle : [15//17 , 68//77]

Intervalle : [68//77 , 61//69]

Intervalle : [61//69 , 23//26]

Intervalle : [23//26 , 85//96]

Intervalle : [85//96 , 31//35]

Intervalle : [31//35 , 70//79]

Intervalle : [70//79 , 39//44]

Intervalle : [39//44 , 63//71]

Intervalle : [63//71 , 79//89]

Intervalle : [79//89 , 8//9]

Intervalle : [8//9 , 57//64]

Intervalle : [57//64 , 49//55]

Intervalle : [49//55 , 90//101]

Intervalle : [90//101 , 74//83]

Intervalle : [74//83 , 33//37]

Intervalle : [33//37 , 83//93]

Intervalle : [83//93 , 25//28]

Intervalle : [25//28 , 17//19]

Intervalle : [17//19 , 60//67]

Intervalle : [60//67 , 61//68]

Intervalle : [61//68 , 35//39]

Intervalle : [35//39 , 79//88]

Intervalle : [79//88 , 44//49]

Intervalle : [44//49 , 9//10]

Intervalle : [9//10 , 91//101]

Intervalle : [91//101 , 73//81]

Intervalle : [73//81 , 64//71]

Intervalle : [64//71 , 65//72]

Intervalle : [65//72 , 28//31]

Intervalle : [28//31 , 47//52]

Intervalle : [47//52 , 19//21]

Intervalle : [19//21 , 67//74]

Intervalle : [67//74 , 48//53]

Intervalle : [48//53 , 77//85]

Intervalle : [77//85 , 39//43]

Intervalle : [39//43 , 59//65]

Intervalle : [59//65 , 10//11]

Intervalle : [10//11 , 81//89]

Intervalle : [81//89 , 71//78]

Intervalle : [71//78 , 51//56]

Intervalle : [51//56 , 52//57]

Intervalle : [52//57 , 32//35]

Intervalle : [32//35 , 43//47]

Intervalle : [43//47 , 65//71]

Intervalle : [65//71 , 11//12]

Intervalle : [11//12 , 67//73]

Intervalle : [67//73 , 56//61]

Intervalle : [56//61 , 45//49]

Intervalle : [45//49 , 34//37]

Intervalle : [34//37 , 57//62]

Intervalle : [57//62 , 23//25]

Intervalle : [23//25 , 35//38]

Intervalle : [35//38 , 47//51]

Intervalle : [47//51 , 59//64]

Intervalle : [59//64 , 12//13]

Intervalle : [12//13 , 61//66]

Intervalle : [61//66 , 37//40]

Intervalle : [37//40 , 38//41]

Intervalle : [38//41 , 89//96]

Intervalle : [89//96 , 51//55]

Intervalle : [51//55 , 13//14]

Intervalle : [13//14 , 66//71]

Intervalle : [66//71 , 53//57]

Intervalle : [53//57 , 40//43]

Intervalle : [40//43 , 27//29]

Intervalle : [27//29 , 41//44]

Intervalle : [41//44 , 55//59]

Intervalle : [55//59 , 14//15]

Intervalle : [14//15 , 29//31]

Intervalle : [29//31 , 74//79]

Intervalle : [74//79 , 15//16]

Intervalle : [15//16 , 31//33]

Intervalle : [31//33 , 47//50]

Intervalle : [47//50 , 63//67]

Intervalle : [63//67 , 16//17]

Intervalle : [16//17 , 49//52]

Intervalle : [49//52 , 33//35]

Intervalle : [33//35 , 17//18]

Intervalle : [17//18 , 69//73]

Intervalle : [69//73 , 35//37]

Intervalle : [35//37 , 53//56]

Intervalle : [53//56 , 89//94]

Intervalle : [89//94 , 18//19]

Intervalle : [18//19 , 73//77]

Intervalle : [73//77 , 37//39]

Intervalle : [37//39 , 19//20]

Intervalle : [19//20 , 39//41]

Intervalle : [39//41 , 59//62]

Intervalle : [59//62 , 20//21]

